Model,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic Regression,0.8223076923076923,0.8048034901819924,0.6146788990825688,0.26171875,0.36712328767123287,0.31779934649199515
Decision Tree,0.8538461538461538,0.7748518318965517,0.625,0.64453125,0.6346153846153846,0.5433967322238565
KNN,0.8323076923076923,0.826381405651341,0.5922330097087378,0.4765625,0.5281385281385281,0.4313559533464075
Naive Bayes,0.7346153846153847,0.7486380507662834,0.39012345679012345,0.6171875,0.47806354009077157,0.32681131936520164
Random Forest,0.8923076923076924,0.9120270593869731,0.8333333333333334,0.56640625,0.6744186046511628,0.6290942552731111
